>YA4_308
58	240	+	1	1.278654	I:	D:
449	628	-	2	1.317568	I:	D:
686	1159	-	2	1.333486	I:	D:
1159	1575	-	1	1.329030	I:	D:
1581	2234	-	3	1.362474	I:	D:
2249	3448	-	2	1.302160	I:	D:
3450	6005	-	3	1.203683	I:	D:
6026	7690	-	2	1.222630	I:	D:
7797	8024	-	3	1.249585	I:	D:
8440	8598	+	1	1.291800	I:	D:
8645	8794	+	2	1.319949	I:	D:
8896	9054	-	1	1.271984	I:	D:
9320	10624	+	2	1.249564	I:	D:
10784	10930	-	2	1.313728	I:	D:
11336	12391	+	2	1.256643	I:	D:
12533	13891	-	2	1.242544	I:	D:
13894	15162	-	1	1.250239	I:	D:
15341	16888	+	2	1.302701	I:	D:
16881	17642	+	3	1.295025	I:	D:
18130	18531	+	1	1.354357	I:	D:
19480	20028	-	1	1.258197	I:	D:
20044	20337	-	1	1.233888	I:	D:
20324	20680	-	2	1.263681	I:	D:
20673	21584	-	3	1.256837	I:	D:
21781	26007	-	1	1.234872	I:	D:
26683	27327	-	1	1.240917	I:	D:
27641	27877	-	2	1.338793	I:	D:
28288	29178	-	1	1.259611	I:	D:
29398	29760	+	1	1.340217	I:	D:
29797	31176	+	1	1.359222	I:	D:
31188	31937	-	3	1.275269	I:	D:
32121	32990	+	3	1.305805	I:	D:
32999	34024	-	2	1.271593	I:	D:
34128	35003	+	3	1.273864	I:	D:
35519	38128	-	2	1.284168	I:	D:
38139	39206	-	3	1.278420	I:	D:
39304	39669	-	1	1.282890	I:	D:
39934	40365	-	1	1.281011	I:	D:
40424	40888	-	2	1.243244	I:	D:
40952	41152	-	2	1.309475	I:	D:
41329	41670	-	1	1.298353	I:	D:
41716	42342	-	1	1.307336	I:	D:
42339	42878	-	3	1.237836	I:	D:
42878	43345	-	2	1.294581	I:	D:
43364	44044	-	2	1.274199	I:	D:
44041	44751	-	1	1.261320	I:	D:
44741	45079	-	2	1.246323	I:	D:
45082	46098	-	1	1.283063	I:	D:
46095	46343	-	3	1.275668	I:	D:
46385	47464	-	2	1.276443	I:	D:
47457	47981	-	3	1.262894	I:	D:
47982	49553	-	3	1.283853	I:	D:
49558	50571	-	1	1.274389	I:	D:
50568	51620	-	3	1.279153	I:	D:
51713	52768	-	2	1.244318	I:	D:
52765	54120	-	1	1.241986	I:	D:
54505	54897	+	1	1.258514	I:	D:
54903	55697	-	3	1.256214	I:	D:
55708	57681	-	1	1.282592	I:	D:
57671	58426	-	2	1.278427	I:	D:
58548	59621	+	3	1.277214	I:	D:
59623	60477	+	1	1.278638	I:	D:
60482	60967	+	2	1.259709	I:	D:
60967	61869	+	1	1.294515	I:	D:
61942	63096	+	1	1.275708	I:	D:
63210	64043	+	3	1.274446	I:	D:
64110	64319	+	3	1.257309	I:	D:
64333	65082	-	1	1.298254	I:	D:
65259	66485	-	3	1.273290	I:	D:
66558	67025	-	3	1.249997	I:	D:
67034	67681	-	2	1.242861	I:	D:
67845	68129	-	3	1.239240	I:	D:
68145	68423	-	3	1.231325	I:	D:
>YA4_317
405	1481	+	3	1.266717	I:	D:
1474	4683	+	1	1.257860	I:	D:
>YA4_334
135	1067	-	3	1.256727	I:	D:
1155	1598	+	3	1.269297	I:	D:
1625	2380	-	2	1.302021	I:	D:
2647	4752	+	1	1.255595	I:	D:
>YA4_668
1	1671	+	1	1.291621	I:	D:
1690	3093	-	1	1.295437	I:	D:
3165	4589	+	3	1.290780	I:	D:
>YA4_906
106	1272	-	1	1.281322	I:	D:
1441	1617	+	1	1.297074	I:	D:
1667	1945	+	2	1.222807	I:	D:
1955	2731	+	2	1.283652	I:	D:
2741	3505	+	2	1.284768	I:	D:
3630	4163	+	3	1.290592	I:	D:
>YA4_930
296	1246	-	2	1.268126	I:	D:
1413	2000	-	3	1.271437	I:	D:
3025	4113	-	1	1.383028	I:	D:
>YA4_1500
66	2270	-	3	1.272714	I:	D:
2343	2810	-	3	1.253785	I:	D:
2819	3466	-	2	1.265868	I:	D:
3516	4037	-	3	1.267206	I:	D:
4073	4213	-	2	1.311488	I:	D:
>YA4_1537
150	1676	-	3	1.224696	I:	D:
1708	4194	-	1	1.279519	I:	D:
>YA4_1687
1	273	+	1	1.352737	I:	D:
385	1074	+	1	1.279860	I:	D:
1079	1813	+	2	1.228594	I:	D:
1893	3260	+	3	1.356510	I:	D:
3266	3553	-	2	1.328653	I:	D:
3578	3988	+	2	1.354333	I:	D:
>YA4_2107
3	137	-	3	1.201162	I:	D:
159	689	+	3	1.287344	I:	D:
701	871	+	2	1.324172	I:	D:
919	1752	+	1	1.267752	I:	D:
1872	3425	+	3	1.251077	I:	D:
3475	3759	-	1	1.332447	I:	D:
3804	5237	+	3	1.263959	I:	D:
5277	6968	+	3	1.258247	I:	D:
6983	9325	+	2	1.262402	I:	D:
9351	9779	+	3	1.310560	I:	D:
9788	10276	-	2	1.332798	I:	D:
10267	10890	-	1	1.311743	I:	D:
11279	13204	+	2	1.268366	I:	D:
13201	15684	+	1	1.273310	I:	D:
15681	16574	+	3	1.309665	I:	D:
16595	16807	+	2	1.262191	I:	D:
16916	18991	+	2	1.261183	I:	D:
19022	19393	+	2	1.297582	I:	D:
19433	19585	+	2	1.196959	I:	D:
19629	21068	+	3	1.278191	I:	D:
21180	21956	+	3	1.303289	I:	D:
21979	23376	+	1	1.293195	I:	D:
23380	23598	-	1	1.345285	I:	D:
23632	24972	+	1	1.284396	I:	D:
25162	25812	+	1	1.262328	I:	D:
25824	27449	-	3	1.290737	I:	D:
27459	28787	-	3	1.271674	I:	D:
28899	29585	+	3	1.293879	I:	D:
29613	30356	+	3	1.265996	I:	D:
30391	31629	+	1	1.276855	I:	D:
31622	32269	+	2	1.248338	I:	D:
32272	32919	+	1	1.252440	I:	D:
32912	33523	+	2	1.277578	I:	D:
33533	34219	+	2	1.269940	I:	D:
34221	35381	+	3	1.294283	I:	D:
35399	36013	+	2	1.254271	I:	D:
36044	36553	+	2	1.292340	I:	D:
36557	37903	+	2	1.319792	I:	D:
37916	39001	+	2	1.296047	I:	D:
39012	40256	+	3	1.296383	I:	D:
40332	40469	+	3	1.288685	I:	D:
40602	43766	+	3	1.271423	I:	D:
43872	44597	+	3	1.277618	I:	D:
44954	46234	+	2	1.259742	I:	D:
46486	47877	-	1	1.318925	I:	D:
47943	48380	-	3	1.262650	I:	D:
48533	49123	+	2	1.258567	I:	D:
49135	49710	+	1	1.270594	I:	D:
49761	50000	+	3	1.280311	I:	D:
49997	50467	+	2	1.288725	I:	D:
50464	50676	+	1	1.300014	I:	D:
50825	51193	-	2	1.257273	I:	D:
51324	51647	+	3	1.266843	I:	D:
52209	53243	+	3	1.281946	I:	D:
53434	53739	+	1	1.269807	I:	D:
53739	54065	+	3	1.300196	I:	D:
54168	55022	+	3	1.282028	I:	D:
55277	55498	+	2	1.280184	I:	D:
55652	56536	-	2	1.301643	I:	D:
56579	56779	+	2	1.281367	I:	D:
56833	57114	+	1	1.307275	I:	D:
57123	58862	+	3	1.263092	I:	D:
58859	59488	+	2	1.244458	I:	D:
60000	60575	+	3	1.271878	I:	D:
>YA4_2143
3	164	-	3	1.325175	I:	D:
254	478	-	2	1.271077	I:	D:
538	915	-	1	1.228776	I:	D:
1021	1566	-	1	1.264665	I:	D:
1607	2122	-	2	1.286331	I:	D:
