Accession	Length	Family	species	Genus	Host_range_isolates	Host_range_taxon	Database
uvig_138926	22074	NA	NA	NA	NA	NA	GPD
SRR10479827_141_13183_round347~3645760	NA	NA	NA	NA	NA	NA	mMGE
uvig_166279	44383	NA	NA	NA	14207_7#31,GCF_001404835,GCF_001405715,13670_3#12,GCF_000185525,13414_6#52	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus	GPD
uvig_328268	10830	NA	NA	NA	NA	NA	GPD
uvig_139529	15907	Podoviridae	NA	NA	NA	NA	GPD
CP002273.2__4316707__2925218__3006993|prophage_in_NCBI_complete_prokaryotic_genomes,phage_finder|MVP_viral_cluster	NA	NA	NA	NA	NA	NA	MVP
SRR10423915_141_169924_round1256~2810824	NA	NA	NA	NA	NA	NA	mMGE
SRR8133876_141_3320_round1256~5632716	NA	NA	NA	NA	NA	NA	mMGE
uvig_254867	36966	Myoviridae	NA	NA	GCA_003478505,GCA_003481825,GCA_003471975,GCA_003471045,GCA_003434675,GCA_003470405,GCA_003481175,GCA_003481985,GCA_003434235,GCA_003481455,GCA_003603115,GCA_003477935,GCA_003474615,GCA_003481245,GCA_003481205,GCA_003474935,GCF_000154245	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/UBA9502/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/UBA9502/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Roseburia/Roseburia intestinalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus/Coprococcus eutactus_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/UBA9502/UBA9502,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus_A/Coprococcus_A catus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus/Coprococcus eutactus_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/UBA9502/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Lachnospira/Lachnospira eligens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus/GCF_000154245.1	GPD
SRR10479834_141_32792_round347~4261255	NA	NA	NA	NA	NA	NA	mMGE
uvig_249862	62139	NA	NA	NA	GCA_003433995	Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Faecalibacterium/Faecalibacterium prausnitzii_B	GPD
k141_79829_round13~7605230							
uvig_180867	36253	NA	NA	NA	NA	NA	GPD
ivig_2421	42264	NA	NA	NA	GCF_000154505,8080_1#84,GCF_000218425	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea scindens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea scindens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea scindens	GPD
SRR10479025_141_736707_round1256~392332	NA	NA	NA	NA	NA	NA	mMGE
